"id","project_id","task_id","task_name","percent_complete","duration","predecessors","successors","milestone_flag","priority","resources","notes","uploaded_at","last_updated_at","uploaded_by","excluded","start_date","finish_date"
"1","1","0","NO.43-45 BEERWAH PDE, BEERWAH","0.25","0",,,"false","500",,,2025-05-15T02:05:05.407Z,2025-05-15T02:05:05.407Z,"Anonymous","false",,
"2","1","3918","KEY PROJECT MILESTONES","0","0",,,"false","500",,,2025-05-15T02:05:05.407Z,2025-05-15T02:05:05.407Z,"Anonymous","false",,
"3","1","3920","Building Approval #01 - Approved","1","0",,,"true","500",,,2025-05-15T02:05:05.407Z,2025-05-15T02:05:05.407Z,"Anonymous","false",,
"4","1","4733","Building Approval #01 - Required","1","0",,,"true","500",,,2025-05-15T02:05:05.407Z,2025-05-15T02:05:05.407Z,"Anonymous","false",,
"5","1","3921","Building Approval #02 - Approved","1","0",,,"true","500",,,2025-05-15T02:05:05.407Z,2025-05-15T02:05:05.407Z,"Anonymous","false",,
"6","1","4844","Building Approval #02 - Required","1","0",,,"true","500",,,2025-05-15T02:05:05.407Z,2025-05-15T02:05:05.407Z,"Anonymous","false",,
"7","1","4880","Development Services Agreement - Effective Date","1","0",,,"true","500",,,2025-05-15T02:05:05.407Z,2025-05-15T02:05:05.407Z,"Anonymous","false",,
"8","1","4881","Subcontract Engagement, Procurement & Mobilsation","1","0",,,"true","500",,,2025-05-15T02:05:05.407Z,2025-05-15T02:05:05.407Z,"Anonymous","false",,
"9","1","4728","Commence On Site Works","1","0",,,"true","500",,,2025-05-15T02:05:05.407Z,2025-05-15T02:05:05.407Z,"Anonymous","false",,
"10","1","4730","Structure Complete","0","0",,,"true","500",,,2025-05-15T02:05:05.407Z,2025-05-15T02:05:05.407Z,"Anonymous","false",,
"11","1","4731","All Buildings Water Tight","0","0",,,"true","500",,,2025-05-15T02:05:05.407Z,2025-05-15T02:05:05.407Z,"Anonymous","false",,
"12","1","4732","External Façade Finishes Complete","0","0",,,"true","500",,,2025-05-15T02:05:05.407Z,2025-05-15T02:05:05.407Z,"Anonymous","false",,
"13","1","3922","Scaffold Removed from Site","0","0",,,"true","500",,,2025-05-15T02:05:05.407Z,2025-05-15T02:05:05.407Z,"Anonymous","false",,
"14","1","4847","Builder's Lift Available","0","0",,,"true","500",,,2025-05-15T02:05:05.407Z,2025-05-15T02:05:05.407Z,"Anonymous","false",,
"15","1","4735","Internal Finishes Complete","0","0",,,"true","500",,,2025-05-15T02:05:05.407Z,2025-05-15T02:05:05.407Z,"Anonymous","false",,
"16","1","4848","Permanent Power Available","0","0",,,"true","500",,,2025-05-15T02:05:05.407Z,2025-05-15T02:05:05.407Z,"Anonymous","false",,
"17","1","4849","Landscaping & External Works Complete","0","0",,,"true","500",,,2025-05-15T02:05:05.407Z,2025-05-15T02:05:05.407Z,"Anonymous","false",,
"18","1","4850","Project Completion","0","0",,,"true","500",,,2025-05-15T02:05:05.407Z,2025-05-15T02:05:05.407Z,"Anonymous","false",,
"19","1","3978","OFF SITE WORKS","0.7","0",,,"false","500",,,2025-05-15T02:05:05.407Z,2025-05-15T02:05:05.407Z,"Anonymous","false",,
"20","1","3923","AUTHORITY APPROVALS","1","0",,,"false","500",,,2025-05-15T02:05:05.407Z,2025-05-15T02:05:05.407Z,"Anonymous","false",,
"21","1","3924","Council Development Approval","1","0",,,"false","500",,,2025-05-15T02:05:05.407Z,2025-05-15T02:05:05.407Z,"Anonymous","false",,
"22","1","3925","Council Minor Change Approval","1","0",,,"false","500",,,2025-05-15T02:05:05.407Z,2025-05-15T02:05:05.407Z,"Anonymous","false",,
"23","1","3926","Council Plumbing Approval (70 units)","1","0",,,"false","500",,,2025-05-15T02:05:05.407Z,2025-05-15T02:05:05.407Z,"Anonymous","false",,
"24","1","3927","Energex Connection Offer","1","0",,,"false","500",,,2025-05-15T02:05:05.407Z,2025-05-15T02:05:05.407Z,"Anonymous","false",,
"25","1","3928","Unity Water Water & Sewerage Connection","1","0",,,"false","500",,,2025-05-15T02:05:05.407Z,2025-05-15T02:05:05.407Z,"Anonymous","false",,
